Depth (m),Facies Code,Lithology
2217.9,2,Bituminous F-M Siltstone
2218.0,2,Bituminous F-M Siltstone
2218.1,5,Laminated Bedded Resedimented Bioclasts
2218.2,5,Laminated Bedded Resedimented Bioclasts
2218.3,5,Laminated Bedded Resedimented Bioclasts
2218.4,5,Laminated Bedded Resedimented Bioclasts
2218.5,5,Laminated Bedded Resedimented Bioclasts
2218.6,5,Laminated Bedded Resedimented Bioclasts
2218.7,5,Laminated Bedded Resedimented Bioclasts
2218.8,5,Laminated Bedded Resedimented Bioclasts
2218.9,5,Laminated Bedded Resedimented Bioclasts
2219.0,5,Laminated Bedded Resedimented Bioclasts
2219.1,5,Laminated Bedded Resedimented Bioclasts
2219.2,5,Laminated Bedded Resedimented Bioclasts
2219.3,5,Laminated Bedded Resedimented Bioclasts
2219.4,5,Laminated Bedded Resedimented Bioclasts
2219.5,5,Laminated Bedded Resedimented Bioclasts
2219.6,2,Bituminous F-M Siltstone
2219.7,2,Bituminous F-M Siltstone
2219.8,2,Bituminous F-M Siltstone
2219.9,2,Bituminous F-M Siltstone
2220.0,2,Bituminous F-M Siltstone
2220.1,2,Bituminous F-M Siltstone
2220.2,2,Bituminous F-M Siltstone
2220.3,2,Bituminous F-M Siltstone
2220.4,2,Bituminous F-M Siltstone
2220.5,2,Bituminous F-M Siltstone
2220.6,2,Bituminous F-M Siltstone
2220.7,2,Bituminous F-M Siltstone
2220.8,2,Bituminous F-M Siltstone
2220.9,1,Bituminous F-C Siltstone
2221.0,1,Bituminous F-C Siltstone
2221.1,1,Bituminous F-C Siltstone
2221.2,1,Bituminous F-C Siltstone
2221.3,1,Bituminous F-C Siltstone
2221.4,1,Bituminous F-C Siltstone
2221.5,1,Bituminous F-C Siltstone
2221.6,1,Bituminous F-C Siltstone
2221.7,1,Bituminous F-C Siltstone
2221.8,1,Bituminous F-C Siltstone
2221.9,1,Bituminous F-C Siltstone
2222.0,2,Bituminous F-M Siltstone
2222.1,2,Bituminous F-M Siltstone
2222.2,2,Bituminous F-M Siltstone
2222.3,2,Bituminous F-M Siltstone
2222.4,2,Bituminous F-M Siltstone
2222.5,2,Bituminous F-M Siltstone
2222.6,2,Bituminous F-M Siltstone
2222.7,2,Bituminous F-M Siltstone
2222.8,2,Bituminous F-M Siltstone
2222.9,2,Bituminous F-M Siltstone
2223.0,2,Bituminous F-M Siltstone
2223.1,2,Bituminous F-M Siltstone
2223.2,2,Bituminous F-M Siltstone
2223.3,2,Bituminous F-M Siltstone
2223.4,2,Bituminous F-M Siltstone
2223.5,2,Bituminous F-M Siltstone
2223.6,2,Bituminous F-M Siltstone
2223.7,2,Bituminous F-M Siltstone
2223.8,5,Laminated Bedded Resedimented Bioclasts
2223.9,5,Laminated Bedded Resedimented Bioclasts
2224.0,5,Laminated Bedded Resedimented Bioclasts
2224.1,5,Laminated Bedded Resedimented Bioclasts
2224.2,5,Laminated Bedded Resedimented Bioclasts
2224.3,5,Laminated Bedded Resedimented Bioclasts
2224.4,5,Laminated Bedded Resedimented Bioclasts
2224.5,5,Laminated Bedded Resedimented Bioclasts
2224.6,2,Bituminous F-M Siltstone
2224.7,2,Bituminous F-M Siltstone
2224.8,2,Bituminous F-M Siltstone
2224.9,2,Bituminous F-M Siltstone
2225.0,2,Bituminous F-M Siltstone
2225.1,2,Bituminous F-M Siltstone
2225.2,2,Bituminous F-M Siltstone
2225.3,2,Bituminous F-M Siltstone
2225.4,2,Bituminous F-M Siltstone
2225.5,2,Bituminous F-M Siltstone
