From (m),To (m),Color Code,Lithofacies,Contact to next Surface
2029.415,2029.594,sandybrown,Bituminous F-C Siltstone,smooth
2029.604,2029.794,tan,Bituminous F-M Siltstone,smooth
2029.805,2030.005,sandybrown,Bituminous F-C Siltstone,smooth
2030.016,2030.216,tan,Bituminous F-M Siltstone,smooth
2030.227,2030.438,sandybrown,Bituminous F-C Siltstone,smooth
2030.448,2030.607,tan,Bituminous F-M Siltstone,smooth
2030.617,2030.818,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2030.828,2030.997,sandybrown,Bituminous F-C Siltstone,smooth
2031.007,2031.145,tan,Bituminous F-M Siltstone,smooth
2031.155,2031.387,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2031.398,2031.630,sandybrown,Bituminous F-C Siltstone,smooth
2031.640,2031.809,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2031.820,2031.999,tan,Bituminous F-M Siltstone,smooth
2032.009,2032.115,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2032.126,2032.431,sandybrown,Bituminous F-C Siltstone,smooth
2032.442,2032.621,tan,Bituminous F-M Siltstone,smooth
2032.632,2032.769,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2032.780,2032.959,tan,Bituminous F-M Siltstone,smooth
2032.969,2033.233,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2033.244,2033.465,tan,Bituminous F-M Siltstone,smooth
2033.476,2033.623,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2033.634,2033.961,sandybrown,Bituminous F-C Siltstone,smooth
2033.972,2034.172,tan,Bituminous F-M Siltstone,smooth
2034.182,2034.299,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2034.309,2034.594,sandybrown,Bituminous F-C Siltstone,smooth
2034.604,2034.900,tan,Bituminous F-M Siltstone,smooth
2034.910,2035.090,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2035.100,2035.343,sandybrown,Bituminous F-C Siltstone,smooth
2035.353,2035.501,tan,Bituminous F-M Siltstone,smooth
2035.512,2035.881,sandybrown,Bituminous F-C Siltstone,smooth
2035.891,2036.060,tan,Bituminous F-M Siltstone,smooth
2036.071,2036.250,sandybrown,Bituminous F-C Siltstone,smooth
2036.261,2036.419,tan,Bituminous F-M Siltstone,smooth
2036.429,2036.566,sandybrown,Bituminous F-C Siltstone,smooth
2036.577,2036.746,tan,Bituminous F-M Siltstone,smooth
2036.756,2036.936,sandybrown,Bituminous F-C Siltstone,smooth
2036.946,2037.126,tan,Bituminous F-M Siltstone,smooth
2037.136,2037.252,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2037.263,2037.453,sandybrown,Bituminous F-C Siltstone,smooth
2037.463,2037.653,tan,Bituminous F-M Siltstone,smooth
2037.664,2038.001,sandybrown,Bituminous F-C Siltstone,smooth
2038.012,2038.159,tan,Bituminous F-M Siltstone,smooth
2038.170,2038.318,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2038.328,2038.518,tan,Bituminous F-M Siltstone,smooth
2038.528,2038.666,sandybrown,Bituminous F-C Siltstone,smooth
2038.676,2039.668,tan,Bituminous F-M Siltstone,smooth
2039.678,2039.931,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2039.942,2040.174,sandybrown,Bituminous F-C Siltstone,smooth
2040.185,2040.343,skyblue,Laminated Bedded Resedimented Bioclasts,rough
2040.353,2040.828,sandybrown,Bituminous F-C Siltstone,smooth
2040.839,2040.986,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2040.997,2041.250,tan,Bituminous F-M Siltstone,smooth
2041.261,2041.450,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2041.461,2041.682,tan,Bituminous F-M Siltstone,smooth
2041.693,2041.841,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2041.851,2042.073,tan,Bituminous F-M Siltstone,smooth
2042.083,2042.368,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2042.379,2043.033,tan,Bituminous F-M Siltstone,smooth
2043.043,2043.201,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2043.212,2043.339,tan,Bituminous F-M Siltstone,smooth
2043.349,2043.528,sandybrown,Bituminous F-C Siltstone,smooth
2043.539,2043.697,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2043.708,2044.024,tan,Bituminous F-M Siltstone,smooth
2044.035,2044.299,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2044.309,2044.710,tan,Bituminous F-M Siltstone,smooth
2044.720,2045.005,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2045.016,2045.343,tan,Bituminous F-M Siltstone,smooth
2045.353,2045.786,skyblue,Laminated Bedded Resedimented Bioclasts,rough
2045.796,2046.102,tan,Bituminous F-M Siltstone,smooth
2046.113,2046.292,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2046.303,2047.041,tan,Bituminous F-M Siltstone,smooth
2047.052,2047.252,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2047.263,2047.463,tan,Bituminous F-M Siltstone,smooth
2047.474,2047.653,sandybrown,Bituminous F-C Siltstone,smooth
2047.664,2047.991,tan,Bituminous F-M Siltstone,smooth
2048.001,2048.201,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2048.212,2048.381,tan,Bituminous F-M Siltstone,smooth
2048.391,2048.824,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2048.834,2049.710,tan,Bituminous F-M Siltstone,smooth
2049.720,2049.931,plum,Calcareous - Calcispheric Dolosiltstone,smooth
2049.942,2050.807,tan,Bituminous F-M Siltstone,smooth
2050.818,2050.934,sandybrown,Bituminous F-C Siltstone,smooth
2050.944,2051.060,tan,Bituminous F-M Siltstone,smooth
2051.071,2051.166,sandybrown,Bituminous F-C Siltstone,smooth
2051.176,2051.355,tan,Bituminous F-M Siltstone,smooth
2051.366,2051.514,sandybrown,Bituminous F-C Siltstone,smooth
2051.524,2052.284,tan,Bituminous F-M Siltstone,smooth
2052.294,2052.421,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2052.431,2052.526,tan,Bituminous F-M Siltstone,smooth
2052.537,2052.653,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2052.664,2053.212,tan,Bituminous F-M Siltstone,smooth
2053.223,2053.750,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2053.761,2053.950,tan,Bituminous F-M Siltstone,smooth
2053.961,2054.172,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2054.182,2054.351,tan,Bituminous F-M Siltstone,smooth
2054.362,2054.626,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2054.636,2055.069,tan,Bituminous F-M Siltstone,smooth
2055.079,2055.290,skyblue,Laminated Bedded Resedimented Bioclasts,rough
2055.301,2055.491,tan,Bituminous F-M Siltstone,smooth
2055.501,2055.691,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2055.701,2055.902,tan,Bituminous F-M Siltstone,smooth
2055.912,2056.123,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2056.134,2056.355,tan,Bituminous F-M Siltstone,smooth
2056.366,2056.672,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2056.682,2056.788,tan,Bituminous F-M Siltstone,smooth
2056.799,2056.978,skyblue,Laminated Bedded Resedimented Bioclasts,rough
2056.988,2057.220,tan,Bituminous F-M Siltstone,smooth
2057.231,2057.463,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2057.474,2057.758,tan,Bituminous F-M Siltstone,smooth
2057.769,2057.917,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2057.927,2058.233,tan,Bituminous F-M Siltstone,smooth
2058.244,2058.412,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2058.423,2058.792,tan,Bituminous F-M Siltstone,smooth
2058.803,2059.109,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2059.119,2059.330,tan,Bituminous F-M Siltstone,smooth
2059.341,2059.520,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2059.531,2059.773,tan,Bituminous F-M Siltstone,smooth
2059.784,2059.984,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2059.995,2060.248,tan,Bituminous F-M Siltstone,smooth
2060.258,2060.417,sandybrown,Bituminous F-C Siltstone,smooth
2060.427,2060.670,tan,Bituminous F-M Siltstone,smooth
2060.680,2060.860,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2060.870,2061.166,tan,Bituminous F-M Siltstone,smooth
2061.176,2061.355,skyblue,Laminated Bedded Resedimented Bioclasts,rough
2061.366,2061.609,sandybrown,Bituminous F-C Siltstone,smooth
2061.619,2061.767,tan,Bituminous F-M Siltstone,smooth
2061.777,2061.925,sandybrown,Bituminous F-C Siltstone,smooth
2061.936,2062.104,tan,Bituminous F-M Siltstone,smooth
2062.115,2062.590,sandybrown,Bituminous F-C Siltstone,smooth
2062.600,2062.769,tan,Bituminous F-M Siltstone,smooth
2062.780,2062.927,sandybrown,Bituminous F-C Siltstone,smooth
2062.938,2064.109,tan,Bituminous F-M Siltstone,smooth
2064.119,2064.573,sandybrown,Bituminous F-C Siltstone,smooth
2064.583,2064.921,tan,Bituminous F-M Siltstone,smooth
2064.931,2065.100,sandybrown,Bituminous F-C Siltstone,smooth
2065.111,2065.290,tan,Bituminous F-M Siltstone,smooth
2065.301,2065.491,sandybrown,Bituminous F-C Siltstone,smooth
2065.501,2065.680,tan,Bituminous F-M Siltstone,smooth
2065.691,2065.891,sandybrown,Bituminous F-C Siltstone,smooth
2065.902,2066.092,tan,Bituminous F-M Siltstone,smooth
2066.102,2066.303,sandybrown,Bituminous F-C Siltstone,smooth
2066.313,2066.503,tan,Bituminous F-M Siltstone,smooth
2066.514,2066.735,sandybrown,Bituminous F-C Siltstone,smooth
2066.746,2066.946,tan,Bituminous F-M Siltstone,smooth
2066.957,2067.400,sandybrown,Bituminous F-C Siltstone,smooth
2067.410,2067.537,tan,Bituminous F-M Siltstone,smooth
2067.547,2067.674,sandybrown,Bituminous F-C Siltstone,smooth
2067.685,2067.853,tan,Bituminous F-M Siltstone,smooth
2067.864,2068.043,sandybrown,Bituminous F-C Siltstone,smooth
2068.054,2068.275,tan,Bituminous F-M Siltstone,smooth
2068.286,2068.486,sandybrown,Bituminous F-C Siltstone,smooth
2068.497,2068.739,tan,Bituminous F-M Siltstone,smooth
2068.750,2068.929,sandybrown,Bituminous F-C Siltstone,smooth
2068.940,2069.204,tan,Bituminous F-M Siltstone,smooth
2069.214,2069.404,sandybrown,Bituminous F-C Siltstone,smooth
2069.415,2069.657,tan,Bituminous F-M Siltstone,smooth
2069.668,2070.047,sandybrown,Bituminous F-C Siltstone,smooth
2070.058,2070.195,tan,Bituminous F-M Siltstone,smooth
2070.206,2070.343,sandybrown,Bituminous F-C Siltstone,smooth
2070.353,2070.543,tan,Bituminous F-M Siltstone,smooth
2070.554,2070.765,sandybrown,Bituminous F-C Siltstone,smooth
2070.775,2071.007,tan,Bituminous F-M Siltstone,smooth
2071.018,2071.271,sandybrown,Bituminous F-C Siltstone,smooth
2071.282,2071.493,tan,Bituminous F-M Siltstone,smooth
2071.503,2071.661,sandybrown,Bituminous F-C Siltstone,smooth
2071.672,2071.925,tan,Bituminous F-M Siltstone,smooth
2071.936,2072.104,sandybrown,Bituminous F-C Siltstone,smooth
2072.115,2072.294,tan,Bituminous F-M Siltstone,smooth
2072.305,2072.453,sandybrown,Bituminous F-C Siltstone,smooth
2072.463,2072.664,tan,Bituminous F-M Siltstone,smooth
2072.674,2072.832,sandybrown,Bituminous F-C Siltstone,smooth
2072.843,2073.022,tan,Bituminous F-M Siltstone,smooth
2073.033,2073.233,sandybrown,Bituminous F-C Siltstone,smooth
